Depth,XRF/Hardness Sample #,Sample Location Quality,LWIR 1,LWIR 2,LWIR 3,LWIR 4,LWIR 5,LWIR 6,LWIR 7,LWIR 8,LWIR 9,LWIR 10,LWIR 11,LWIR 12,LWIR 13,LWIR 14,LWIR 15,LWIR 16,LWIR 17,LWIR 18,LWIR 19,LWIR 20,SWIR 1,SWIR 3,SWIR 4,SWIR 5,SWIR 6,SWIR 7,SWIR 8,SWIR 9,SWIR 10,SWIR 11,SWIR 12,SWIR 13,SWIR 14,SWIR 15,SWIR 16,SWIR 17,SWIR 18,SWIR 20,HLD,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ba,Pb,Th,U
42.783226,406,GOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,55.55555556,0,0,0,11.11111111,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,844,0,3.0722,2.1072,31.2935,0.2483,0.296,0,1.8594,8.4516,0.1955,0.0028,0,0.815,1.0677,0.0003,0.0016,0,0.0012,0.0004,0.0003,0,0.0037,0.0077,0.0022,0.0333,0.0007,0.0018,0.0175,0,0,0
42.885855,407,GOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,11.11111111,0,0,0,0,88.88888889,0,0,0,0,0,0,0,0,0,0,0,0,814,0,2.9664,1.9976,30.1593,0.1514,0.2965,0,1.7411,8.0499,0.1893,0.0041,0,0.7759,1.0436,0.0003,0.001,0.0005,0.0015,0.0004,0.0001,0.0003,0.0038,0.0075,0.0021,0.0343,0.0006,0.0017,0.0157,0.001,0.0008,0
42.984069,408,GOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.77777778,0,0,0,22.22222222,22.22222222,0,0,0,0,77.77777778,0,0,0,0,0,0,0,0,0,0,0,0,801,0,2.341,2.6799,30.108,0.1376,0.3953,0,2.2565,6.2094,0.2654,0.0041,0.0025,0.547,1.125,0.0004,0.0009,0.0004,0.0029,0.001,0.0004,0,0.0054,0.0068,0.0024,0.0396,0.0007,0.002,0.0262,0,0.0006,0.0008
43.08118,409,GOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,22.22222222,77.77777778,0,0,0,0,0,0,0,0,0,0,0,0,845,0,3.0124,1.6859,30.9992,0.0916,0.2436,0,1.5331,8.6056,0.1486,0.0023,0,0.8258,0.957,0.0003,0.0011,0.0002,0.0015,0.0003,0.0001,0,0.0033,0.0086,0.0019,0.029,0.0005,0.0014,0.0273,0,0.0003,0.0004
43.211396,410,GOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.55555556,0,44.44444444,0,0,44.44444444,0,0,0,44.44444444,11.11111111,0,0,0,0,0,0,0,0,0,0,0,0,830,0,2.3266,1.8834,30.6952,0.082,0.3188,0.0694,1.6295,7.1936,0.1779,0.0026,0.0019,0.6796,1.0127,0.0003,0.001,0.0003,0.003,0.0003,0.0004,0,0.0038,0.0067,0.002,0.0326,0.0007,0.0018,0.0229,0,0.0004,0
43.3063,411,GOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,33.33333333,0,0,0,0,66.66666667,0,0,0,0,0,0,0,0,0,0,0,0,866,0,1.9881,2.1961,33.6618,0.0625,0.3073,0.0755,1.8058,6.009,0.1816,0.0046,0.0018,0.5413,0.9462,0.0004,0.0008,0,0.0022,0.0004,0.0003,0,0.004,0.0062,0.0018,0.0265,0.0008,0.0013,0.0139,0,0,0
43.405618,412,GOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11111111,0,66.66666667,22.22222222,0,33.33333333,0,0,0,33.33333333,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,845,0,2.1056,2.7087,33.3321,0.1169,0.3507,0,2.1887,5.515,0.2089,0.0035,0.0026,0.4992,1.0332,0.0004,0.0007,0,0.0013,0.0007,0.0001,0,0.0056,0.0067,0.0025,0.0316,0.0004,0.0014,0.0232,0.0009,0.0005,0.0008
43.500522,413,GOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,22.22222222,0,0,0,33.33333333,44.44444444,0,0,0,0,0,0,0,0,0,0,0,0,835,0,2.8107,2.2233,32.2701,0.0974,0.2899,0,1.8039,7.4137,0.1755,0.0034,0.0025,0.6851,1.0457,0.0004,0.0008,0.0003,0.0014,0.0005,0.0002,0,0.0042,0.0065,0.0018,0.0278,0.0007,0.0014,0.0161,0.0006,0.0007,0
43.597632,414,GOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,44.44444444,0,0,0,0,55.55555556,0,0,0,0,0,0,0,0,0,0,0,0,830,0,2.6498,2.6522,33.3231,0.0822,0.3674,0,2.1305,6.6685,0.2147,0.0033,0.0028,0.6411,1.1975,0.0004,0.0014,0,0.0017,0.0007,0.0002,0,0.0046,0.0064,0.002,0.0278,0.0006,0.0017,0.0137,0,0.0007,0.0004
43.703571,415,GOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.66666667,0,33.33333333,0,0,44.44444444,0,0,0,11.11111111,44.44444444,0,0,0,0,0,0,0,0,0,0,0,0,823,0,2.4874,2.5795,32.9968,0.0775,0.3402,0,2.0777,6.6792,0.1944,0.0049,0,0.6038,1.1612,0.0004,0.0013,0.0005,0.002,0.0006,0.0005,0,0.0047,0.0066,0.0021,0.0246,0.0006,0.0011,0.0227,0,0,0.0004
